gene_id           control_sample         treat_sample       log_2[FC]     
AT1G01010     1.198558083     2.036161827     0.7645524015753111     
AT1G01020     13.75736234     13.370796     -0.041118537167476     
AT1G01030     0.833779536     0.203616183     -2.0338137351294288     
AT1G01040     9.58846466     7.126566394     -0.4280926758664581     
AT1G01046     0     0     0     
AT1G01050     23.81482799     21.10821094     -0.17405582247276924     
AT1G01060     0.625334652     1.221697096     0.9661862625087826     
AT1G01070     1.719670292     0.950208853     -0.8558154338307901     
AT1G01080     28.34850421     25.24840665     -0.1670802676802953     
AT1G01090     58.26034505     42.96301455     -0.43941902068760835     
AT1G01100     1066.508249     1308.030358     0.29450090027848713     
AT1G01110     2.709783491     1.425313279     -0.9268985327049046     
